"theta","items","measurement"
-2.6,"madde_1",0.0265969935768659
-2.59,"madde_1",0.0268571187848097
-2.58,"madde_1",0.027119717201763
-2.57,"madde_1",0.0273848109501257
-2.56,"madde_1",0.0276524223228231
-2.55,"madde_1",0.027922573784073
-2.54,"madde_1",0.0281952879701426
-2.53,"madde_1",0.0284705876900972
-2.52,"madde_1",0.02874849592654
-2.51,"madde_1",0.0290290358363408
-2.5,"madde_1",0.0293122307513563
-2.49,"madde_1",0.0295981041791392
-2.48,"madde_1",0.0298866798036362
-2.47,"madde_1",0.0301779814858759
-2.46,"madde_1",0.0304720332646442
-2.45,"madde_1",0.030768859357148
-2.44,"madde_1",0.0310684841596674
-2.43,"madde_1",0.0313709322481939
-2.42,"madde_1",0.0316762283790564
-2.41,"madde_1",0.0319843974895333
-2.4,"madde_1",0.0322954646984505
-2.39,"madde_1",0.0326094553067656
-2.38,"madde_1",0.0329263947981363
-2.37,"madde_1",0.0332463088394741
-2.36,"madde_1",0.0335692232814825
-2.35,"madde_1",0.0338951641591782
-2.34,"madde_1",0.0342241576923959
-2.33,"madde_1",0.0345562302862765
-2.32,"madde_1",0.0348914085317368
-2.31,"madde_1",0.0352297192059215
-2.3,"madde_1",0.0355711892726362
-2.29,"madde_1",0.0359158458827617
-2.28,"madde_1",0.0362637163746483
-2.27,"madde_1",0.0366148282744899
-2.26,"madde_1",0.036969209296677
-2.25,"madde_1",0.0373268873441295
-2.24,"madde_1",0.0376878905086059
-2.23,"madde_1",0.0380522470709921
-2.22,"madde_1",0.0384199855015654
-2.21,"madde_1",0.038791134460236
-2.2,"madde_1",0.0391657227967644
-2.19,"madde_1",0.039543779550953
-2.18,"madde_1",0.0399253339528138
-2.17,"madde_1",0.0403104154227092
-2.16,"madde_1",0.0406990535714665
-2.15,"madde_1",0.041091278200465
-2.14,"madde_1",0.0414871193016959
-2.13,"madde_1",0.0418866070577927
-2.12,"madde_1",0.0422897718420338
-2.11,"madde_1",0.0426966442183139
-2.1,"madde_1",0.0431072549410861
-2.09,"madde_1",0.0435216349552722
-2.08,"madde_1",0.0439398153961413
-2.07,"madde_1",0.0443618275891564
-2.06,"madde_1",0.0447877030497867
-2.05,"madde_1",0.0452174734832875
-2.04,"madde_1",0.0456511707844437
-2.03,"madde_1",0.0460888270372796
-2.02,"madde_1",0.0465304745147315
-2.01,"madde_1",0.0469761456782835
-2,"madde_1",0.0474258731775668
-1.99,"madde_1",0.0478796898499189
-1.98,"madde_1",0.0483376287199052
-1.97,"madde_1",0.0487997229988
-1.96,"madde_1",0.0492660060840267
-1.95,"madde_1",0.0497365115585567
-1.94,"madde_1",0.0502112731902665
-1.93,"madde_1",0.0506903249312507
-1.92,"madde_1",0.0511737009170917
-1.91,"madde_1",0.0516614354660848
-1.9,"madde_1",0.0521535630784177
-1.89,"madde_1",0.0526501184353029
